plate0-A10,100000,0.0,0.0
plate0-A10,250000,0.0001504896118781178,1.0
plate0-A10,500000,0.002338167264617016,2.0
plate0-A10,1000000,0.08557355012432127,5.0
plate0-A10,2500000,0.7772000056526576,13.0
plate0-A10,5000000,0.9647903892920815,27.0
plate0-A10,1417930,0.9721023993795961,49.0
plate0-A11,100000,0.0,0.0
plate0-A11,250000,0.0,0.0
plate0-A11,500000,0.00013982889802184256,1.0
plate0-A11,1000000,0.0034062220388689627,2.0
plate0-A11,2500000,0.19966574943206905,6.0
plate0-A11,5000000,0.7768055592399754,13.0
plate0-A11,642774,0.9515331718028581,22.0
plate0-A12,100000,0.003216560501658485,2.0
plate0-A12,250000,0.13496067064319558,6.0
plate0-A12,500000,0.6840447045879002,12.0
plate0-A12,1000000,0.9587651025746615,24.0
plate0-A12,2500000,0.9689874875449392,37.0
plate0-A12,5000000,0.9689874875449392,37.0
plate0-A12,1104200,0.9689874875449392,37.0
plate0-A1,100000,0.001080203029576539,1.0
plate0-A1,250000,0.04423477271977867,4.0
plate0-A1,500000,0.3692908468350448,8.0
plate0-A1,1000000,0.8622888651818854,16.0
plate0-A1,2500000,0.9577091960557342,26.0
plate0-A1,5000000,0.9577091960557342,26.0
plate0-A1,883338,0.9577091960557342,26.0
plate0-A2,100000,3.148629441271987e-05,1.0
plate0-A2,250000,0.0026773267193934006,3.0
plate0-A2,500000,0.09663416471199586,5.0
plate0-A2,1000000,0.65453460901584,11.0
plate0-A2,2500000,0.9686361798348383,28.0
plate0-A2,5000000,0.9721626448090629,57.0
plate0-A2,3246698,0.9738738133447841,115.0
plate0-A3,100000,0.0,0.0
plate0-A3,250000,0.0,0.0
plate0-A3,500000,0.0,0.0
plate0-A3,1000000,0.0,0.0
plate0-A3,2500000,1.8346344775915513e-05,0.0
plate0-A3,5000000,0.00014602698747316539,0.0
plate0-A3,44348,0.0045972469078351536,1.0
plate0-A4,100000,0.0,0.0
plate0-A4,250000,0.0,1.0
plate0-A4,500000,0.0003840336224039612,2.0
plate0-A4,1000000,0.02181082885562691,4.0
plate0-A4,2500000,0.5841406758049644,10.0
plate0-A4,5000000,0.954479743528017,21.0
plate0-A4,1094044,0.9706391544219277,39.0
plate0-A5,100000,0.0,0.0
plate0-A5,250000,3.5700995239619375e-05,1.0
plate0-A5,500000,0.0011111934768331532,2.0
plate0-A5,1000000,0.031120111287935716,4.0
plate0-A5,2500000,0.6266652716833342,11.0
plate0-A5,5000000,0.9594166457377846,22.0
plate0-A5,1051742,0.9713497033966274,37.0
plate0-A6,100000,0.04611923983655886,4.0
plate0-A6,250000,0.6673544893133782,11.0
plate0-A6,500000,0.9652911949197484,23.0
plate0-A6,1000000,0.973339290110502,46.0
plate0-A6,2500000,0.9754768872004742,114.0
plate0-A6,5000000,0.9769666599809942,228.0
plate0-A6,11246188,0.9777984435853617,374.0
plate0-A7,100000,0.0,0.0
plate0-A7,250000,0.0,0.0
plate0-A7,500000,1.5123338261227653e-05,0.0
plate0-A7,1000000,0.00025238620245786477,0.0
plate0-A7,2500000,0.0025193994001736953,1.0
plate0-A7,5000000,0.02233667476467714,2.0
plate0-A7,107968,0.043584469174545885,3.0
plate0-A8,100000,4.660963267394752e-05,1.0
plate0-A8,250000,0.00779521314113967,3.0
plate0-A8,500000,0.17878736115349916,6.0
plate0-A8,1000000,0.7846724222951723,13.0
plate0-A8,2500000,0.9687157633033933,33.0
plate0-A8,5000000,0.9713127627834975,67.0
plate0-A8,2971846,0.9724787473710803,104.0
plate0-A9,100000,0.0396576076217658,4.0
plate0-A9,250000,0.638420320213135,11.0
plate0-A9,500000,0.9612968981537379,22.0
plate0-A9,1000000,0.9722154525311881,44.0
plate0-A9,2500000,0.9749074067416867,111.0
plate0-A9,5000000,0.9763079270341076,223.0
plate0-A9,9144140,0.976750470620932,300.0
plate0-B10,100000,0.000277178560263156,1.0
plate0-B10,250000,0.0231719292991374,3.0
plate0-B10,500000,0.2666135449080092,7.0
plate0-B10,1000000,0.8206805948479993,14.0
plate0-B10,2500000,0.9687398118904644,36.0
plate0-B10,5000000,0.9717934866013421,73.0
