sequence_file,lineage,confidence,classification_notes,cell,reads,correct
intermediates/subsamples/plate0-A5.1000000.0.bam,T12,1.0,Usher placements: T12(28/28),plate0-A5,1000000,1
intermediates/subsamples/plate0-A5.2500000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-A5,2500000,1
intermediates/subsamples/plate0-A5.5000000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-A5,5000000,1
intermediates/subsamples/plate0-A6.100000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-A6,100000,1
intermediates/subsamples/plate0-A6.250000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-A6,250000,1
intermediates/subsamples/plate0-A6.500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-A6,500000,1
intermediates/subsamples/plate0-A6.1000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-A6,1000000,1
intermediates/subsamples/plate0-A6.2500000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-A6,2500000,1
intermediates/subsamples/plate0-A6.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-A6,5000000,1
intermediates/subsamples/plate0-A7.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A7,100000,0
intermediates/subsamples/plate0-A7.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A7,250000,0
intermediates/subsamples/plate0-A7.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A7,500000,0
intermediates/subsamples/plate0-A7.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A7,1000000,0
intermediates/subsamples/plate0-A7.2500000.0.bam,UNDEFINED,0.5855421195842971,Usher placements: T12(58/75) UNDEFINED(17/75),plate0-A7,2500000,0
intermediates/subsamples/plate0-A7.5000000.0.bam,UNDEFINED,0.584181000112378,Usher placements: T12(54/70) UNDEFINED(16/70),plate0-A7,5000000,0
intermediates/subsamples/plate0-A8.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-A8,100000,0
intermediates/subsamples/plate0-A8.250000.0.bam,T12,1.0,Usher placements: T12(30/30),plate0-A8,250000,1
intermediates/subsamples/plate0-A8.500000.0.bam,T12,1.0,Usher placements: T12(28/28),plate0-A8,500000,1
intermediates/subsamples/plate0-A8.1000000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-A8,1000000,1
intermediates/subsamples/plate0-A8.2500000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-A8,2500000,1
intermediates/subsamples/plate0-A8.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-A8,5000000,1
intermediates/subsamples/plate0-A9.100000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-A9,100000,1
intermediates/subsamples/plate0-A9.250000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-A9,250000,1
intermediates/subsamples/plate0-A9.500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-A9,500000,1
intermediates/subsamples/plate0-A9.1000000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-A9,1000000,1
intermediates/subsamples/plate0-A9.2500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-A9,2500000,1
intermediates/subsamples/plate0-A9.5000000.0.bam,T12,1.0,Usher placements: T12(3/3),plate0-A9,5000000,1
intermediates/subsamples/plate0-B10.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B10,100000,0
intermediates/subsamples/plate0-B10.250000.0.bam,T12,1.0,Usher placements: T12(44/44),plate0-B10,250000,1
intermediates/subsamples/plate0-B10.500000.0.bam,T12,1.0,Usher placements: T12(29/29),plate0-B10,500000,1
intermediates/subsamples/plate0-B10.1000000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-B10,1000000,1
intermediates/subsamples/plate0-B10.2500000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-B10,2500000,1
intermediates/subsamples/plate0-B10.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-B10,5000000,1
intermediates/subsamples/plate0-B11.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B11,100000,0
intermediates/subsamples/plate0-B11.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B11,250000,0
intermediates/subsamples/plate0-B11.500000.0.bam,T12,1.0,Usher placements: T12(43/43),plate0-B11,500000,1
intermediates/subsamples/plate0-B11.1000000.0.bam,T12,1.0,Usher placements: T12(29/29),plate0-B11,1000000,1
intermediates/subsamples/plate0-B11.2500000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-B11,2500000,1
intermediates/subsamples/plate0-B11.5000000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B11,5000000,1
intermediates/subsamples/plate0-B1.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B1,100000,0
intermediates/subsamples/plate0-B1.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B1,250000,0
intermediates/subsamples/plate0-B1.500000.0.bam,T12,1.0,Usher placements: T12(41/41),plate0-B1,500000,1
intermediates/subsamples/plate0-B1.1000000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-B1,1000000,1
intermediates/subsamples/plate0-B1.2500000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-B1,2500000,1
intermediates/subsamples/plate0-B1.5000000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-B1,5000000,1
intermediates/subsamples/plate0-B2.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B2,100000,0
intermediates/subsamples/plate0-B2.250000.0.bam,T12,1.0,Usher placements: T12(54/54),plate0-B2,250000,1
intermediates/subsamples/plate0-B2.500000.0.bam,UNDEFINED,0.6860737421030715,Usher placements: T12(49/56) UNDEFINED(7/56),plate0-B2,500000,0
intermediates/subsamples/plate0-B2.1000000.0.bam,T12,1.0,Usher placements: T12(37/37),plate0-B2,1000000,1
intermediates/subsamples/plate0-B2.2500000.0.bam,T12,1.0,Usher placements: T12(28/28),plate0-B2,2500000,1
intermediates/subsamples/plate0-B2.5000000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-B2,5000000,1
intermediates/subsamples/plate0-B3.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B3,100000,0
intermediates/subsamples/plate0-B3.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B3,250000,0
intermediates/subsamples/plate0-B3.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B3,500000,0
intermediates/subsamples/plate0-B3.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B3,1000000,0
intermediates/subsamples/plate0-B3.2500000.0.bam,T12,1.0,Usher placements: T12(30/30),plate0-B3,2500000,1
intermediates/subsamples/plate0-B3.5000000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-B3,5000000,1
intermediates/subsamples/plate0-B4.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B4,100000,0
intermediates/subsamples/plate0-B4.250000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-B4,250000,1
intermediates/subsamples/plate0-B4.500000.0.bam,T12,1.0,Usher placements: T12(39/39),plate0-B4,500000,1
intermediates/subsamples/plate0-B4.1000000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-B4,1000000,1
intermediates/subsamples/plate0-B4.2500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B4,2500000,1
intermediates/subsamples/plate0-B4.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-B4,5000000,1
intermediates/subsamples/plate0-B5.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B5,100000,0
intermediates/subsamples/plate0-B5.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B5,250000,0
intermediates/subsamples/plate0-B5.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B5,500000,0
intermediates/subsamples/plate0-B5.1000000.0.bam,T12,1.0,Usher placements: T12(43/43),plate0-B5,1000000,1
intermediates/subsamples/plate0-B5.2500000.0.bam,T12,1.0,Usher placements: T12(37/37),plate0-B5,2500000,1
intermediates/subsamples/plate0-B5.5000000.0.bam,T12,1.0,Usher placements: T12(7/7),plate0-B5,5000000,1
intermediates/subsamples/plate0-B6.100000.0.bam,T12,1.0,Usher placements: T12(41/41),plate0-B6,100000,1
intermediates/subsamples/plate0-B6.250000.0.bam,T12,1.0,Usher placements: T12(26/26),plate0-B6,250000,1
intermediates/subsamples/plate0-B6.500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B6,500000,1
intermediates/subsamples/plate0-B6.1000000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B6,1000000,1
intermediates/subsamples/plate0-B6.2500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B6,2500000,1
intermediates/subsamples/plate0-B6.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-B6,5000000,1
intermediates/subsamples/plate0-B7.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B7,100000,0
intermediates/subsamples/plate0-B7.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B7,250000,0
intermediates/subsamples/plate0-B7.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B7,500000,0
intermediates/subsamples/plate0-B7.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B7,1000000,0
intermediates/subsamples/plate0-B7.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B7,2500000,0
intermediates/subsamples/plate0-B7.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B7,5000000,0
intermediates/subsamples/plate0-B8.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-B8,100000,0
intermediates/subsamples/plate0-B8.250000.0.bam,T12,1.0,Usher placements: T12(41/41),plate0-B8,250000,1
intermediates/subsamples/plate0-B8.500000.0.bam,T12,1.0,Usher placements: T12(25/25),plate0-B8,500000,1
intermediates/subsamples/plate0-B8.1000000.0.bam,T12,1.0,Usher placements: T12(6/6),plate0-B8,1000000,1
intermediates/subsamples/plate0-B8.2500000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B8,2500000,1
intermediates/subsamples/plate0-B8.5000000.0.bam,T12,1.0,Usher placements: T12(4/4),plate0-B8,5000000,1
intermediates/subsamples/plate0-B9.100000.0.bam,T12,1.0,Usher placements: T12(54/54),plate0-B9,100000,1
intermediates/subsamples/plate0-B9.250000.0.bam,T12,1.0,Usher placements: T12(28/28),plate0-B9,250000,1
intermediates/subsamples/plate0-B9.500000.0.bam,T12,1.0,Usher placements: T12(5/5),plate0-B9,500000,1
intermediates/subsamples/plate0-B9.1000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-B9,1000000,1
intermediates/subsamples/plate0-B9.2500000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-B9,2500000,1
intermediates/subsamples/plate0-B9.5000000.0.bam,T12,1.0,Usher placements: T12(2/2),plate0-B9,5000000,1
intermediates/subsamples/plate0-C10.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C10,100000,0
intermediates/subsamples/plate0-C10.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C10,250000,0
intermediates/subsamples/plate0-C10.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C10,500000,0
