plate0-A10,154424,0.012458131246009384,0.0,0.12547211242863418,0.1333333333333333,3
plate0-A11,78966,0.011867042197502285,0.0,nan,nan,0
plate0-A12,718684,0.013554558957777114,0.0,0.16663481956514123,0.10624999999999996,9
plate0-A1,554380,0.013938003896333599,0.0,0.18229923892153144,0.18375000000000002,14
plate0-A2,320480,0.014205745040959774,0.0,0.20470085470085472,0.28205128205128205,3
plate0-A3,4346,0.007691459539472466,0.0,nan,nan,0
plate0-A4,118964,0.012161793212690208,0.0,nan,nan,0
plate0-A5,126650,0.013046955697238438,0.0,0.34050651441955787,0.30434782608695654,3
plate0-A6,1372774,0.01479438521073373,0.0,0.09999151263179853,0.11764705882352944,13
plate0-A7,17306,0.008508405773411876,0.0,nan,nan,0
plate0-A8,381330,0.014502113396580208,0.0,0.15646794451142276,0.1691134952004517,4
plate0-A9,1355412,0.015969165958934318,0.0,0.08135933590793627,0.05753968253968256,12
plate0-B10,505898,0.013759764669146132,0.0,0.07242063492063493,0.0714285714285714,3
plate0-B11,243510,0.013341108223179413,0.0,nan,nan,0
plate0-B1,500062,0.013606804858698238,0.0,nan,nan,0
plate0-B2,819928,0.011645328163656501,0.0,0.2068965517241379,0.2068965517241379,1
plate0-B3,55154,0.009329424128534438,0.0,nan,nan,0
plate0-B4,416772,0.013843219448779368,0.0,0.0714285714285714,0.0714285714285714,1
plate0-B5,133776,0.011451617061944771,0.0,nan,nan,0
plate0-B6,1507250,0.014172305420012743,0.0,0.02857142857142858,0.02857142857142858,1
plate0-B7,12222,0.008082758504361682,0.0,nan,nan,0
plate0-B8,770026,0.013880022465320427,0.0,0.0678733031674208,0.0678733031674208,2
plate0-B9,1358510,0.014200353124084979,0.0,0.06388888888888888,0.06666666666666665,3
plate0-C10,26,0.0026455026455026454,0.0,nan,nan,0
plate0-C11,43012,0.011179481528520229,0.0,0.11111111111111116,0.11111111111111116,1
plate0-C12,0,None,None,nan,nan,0
plate0-C1,0,None,None,nan,nan,0
plate0-C2,0,None,None,nan,nan,0
plate0-C3,6724,0.007857324902017309,0.0,nan,nan,0
plate0-C4,18,0.001450536698578474,0.0,nan,nan,0
plate0-C5,188,0.009678970583977138,0.0,nan,nan,0
plate0-C6,49126,0.010467328859787116,0.0,0.09492063492063489,0.07999999999999996,3
plate0-C7,0,None,None,nan,nan,0
plate0-C8,0,None,None,nan,nan,0
plate0-C9,212,0.018769086447614696,0.0,nan,nan,0
plate0-D11,248764,0.01265596121077399,0.0,nan,nan,0
plate0-D1,38248,0.01054139728545139,0.0,nan,nan,0
plate0-D2,24532,0.010689825657020318,0.0,nan,nan,0
plate0-D3,55090,0.009931240562995188,0.0,nan,nan,0
plate0-D4,342408,0.016149679848281914,0.0,nan,nan,0
plate0-D5,14292,0.008977001231888708,0.0,nan,nan,0
plate0-D6,1278240,0.013788678146472562,0.0,0.21739130434782605,0.21739130434782605,1
plate0-D7,6492,0.00809558399209698,0.0,nan,nan,0
plate0-D8,16232,0.00887639972534016,0.0,nan,nan,0
plate0-D9,300292,0.012300828607487246,0.0,nan,nan,0
plate0-E10,423708,0.015036570384589746,0.0,0.1873015873015873,0.22857142857142854,3
plate0-E11,179692,0.01252990955333805,0.0,0.16666666666666663,0.16666666666666663,1
plate0-E12,1435658,0.0157310232686246,0.0,0.08522621169679992,0.07499999999999996,7
plate0-E1,361262,0.012678545764168532,0.0,0.2592592592592593,0.2592592592592593,2
plate0-E2,899974,0.016168022093049274,0.0,0.08595775426069957,0.07771260997067453,4
plate0-E3,264390,0.016698779144363053,0.0,0.3248376623376623,0.4142857142857143,6
plate0-E4,113800,0.01146673100822277,0.0,nan,nan,0
plate0-E5,55764,0.010590431476000408,0.0,nan,nan,0
plate0-E6,273120,0.014585754760306104,0.0,nan,nan,0
plate0-E7,4494,0.009646955246156361,0.0,nan,nan,0
plate0-E8,203564,0.013740019053650996,0.0,nan,nan,0
plate0-E9,110520,0.0106138428558704,0.0,nan,nan,0
plate0-F10,6,0.0,0.0,nan,nan,0
plate0-F11,950776,0.013922043066595696,0.0,0.07878344112368581,0.045454545454545414,7
plate0-F12,1515176,0.014423306397595634,0.0,0.07031591729103173,0.02564102564102566,8
plate0-F1,1263090,0.013493541566802554,0.0,0.08350527489964159,0.03145586297760211,8
plate0-F2,1575694,0.014075594109911964,0.0,0.09225578679766021,0.05747126436781613,11
plate0-F3,226046,0.01325751620220643,0.0,0.21318889443889444,0.17628205128205132,8
plate0-F4,1086632,0.016025386673384632,0.0,0.08892634650485479,0.03703703703703709,9
plate0-F5,1285472,0.013927850632277488,0.0,0.08625794784178159,0.04347826086956519,11
plate0-F6,1103062,0.01212793200645148,0.0,0.11078337194500898,0.15384615384615385,7
plate0-F7,2366,0.006949962667248315,0.0,nan,nan,0
plate0-F8,877656,0.014266006863871966,0.0,0.15107290200749499,0.13207547169811318,9
plate0-F9,578986,0.013918317988194977,0.0,0.20994256061475605,0.1975043029259897,18
plate0-G10,649362,0.014321678574581035,0.0,0.16910019244321567,0.14393939393939392,10
plate0-G11,1158964,0.015142573813456713,0.0,0.11659771789083265,0.10447761194029848,15
plate0-G12,1476652,0.014634444553027462,0.0,0.09807307715886654,0.05915736821854556,10
plate0-G1,826452,0.01888622151598384,0.0,0.207237287479827,0.19565217391304346,15
plate0-G2,1488218,0.016629733741293146,0.0,0.04898738214770345,0.02744360902255638,10
plate0-G3,283286,0.01453339993607974,0.0,0.3042016806722689,0.3042016806722689,2
plate0-G4,301950,0.014123643576865349,0.0,0.08333333333333337,0.08333333333333337,2
plate0-G5,300248,0.01424145498992002,0.0,0.2808090364304131,0.2857142857142857,17
plate0-G6,1032844,0.01527515445472936,0.0,0.11339688100428988,0.07407407407407407,7
plate0-G7,1493442,0.013703921585207508,0.0,0.038918406675068296,0.022497472194135504,12
plate0-G8,203720,0.013872249587865704,0.0,0.33219412166780593,0.35714285714285715,6
plate0-G9,848308,0.013217414327718103,0.0,0.139428600046449,0.08631578947368423,6
plate0-H10,1485852,0.014166511156625225,0.0,0.10664829127273896,0.10119047619047616,20
plate0-H11,1518054,0.015157710953609488,0.0,0.09215057647093358,0.0865859683794466,8
plate0-H1,1469822,0.015171643998726416,0.0,0.10922198626458497,0.15094339622641506,5
plate0-H2,44992,0.0109562670022053,0.0,nan,nan,0
plate0-H3,1484396,0.014592834015340141,0.0,0.10918183693639133,0.13099697885196376,18
plate0-H4,1326316,0.016735247367915547,0.0,0.12413515590749263,0.12850410193751088,18
plate0-H5,1478116,0.014251421305873483,0.0,0.11952576851612771,0.125,15
plate0-H6,1582332,0.01459140814985523,0.0,0.11333405867160216,0.11481870730425647,14
plate0-H7,1339292,0.01571645002807744,0.0,0.1051788434046683,0.06666666666666665,15
plate0-H8,552810,0.013717374912953148,0.0,0.2302096420042834,0.21739130434782605,10
plate0-H9,746802,0.013114761482567778,0.0,0.17038423918941295,0.1901408450704225,19
plate1-A10,536,0.01732577847284293,0.0,nan,nan,0
plate1-A11,3644,0.009241845260300663,0.0,nan,nan,0
plate1-A12,1629608,0.021589383726343926,0.0,0.11717302321269212,0.06666666666666665,15
plate1-A1,1856104,0.018463264681050764,0.0,0.06434937611408204,0.06434937611408204,2
plate1-A2,1688632,0.022692964890907313,0.0,0.06736924277907881,0.016393442622950838,3
plate1-A3,1738868,0.021829078642289602,0.0,0.08979621472515986,0.0727225672877847,14
plate1-A5,1765120,0.020755069513754103,0.0,0.1253932383766343,0.08064516129032262,13
plate1-A6,81056,0.013487395317944321,0.0,0.20050125313283207,0.20050125313283207,2
plate1-A7,0,None,None,nan,nan,0
plate1-A8,6616,0.010354036858624852,0.0,0.09090909090909094,0.09090909090909094,1
plate1-A9,790632,0.014712228047684338,0.0,nan,nan,0
plate1-B10,30,0.00078125,0.0,nan,nan,0
plate1-B11,796,0.007825489967957573,0.0,nan,nan,0
plate1-B12,1729050,0.021865668266143338,0.0,0.08922462073293864,0.07447121034077558,8
plate1-B1,1858542,0.019495856284516624,0.0,0.027425614332989217,0.016620879120879117,6
plate1-B2,1861654,0.0191675223292265,0.0,0.03722516209000762,0.03562500000000002,4
plate1-B3,1728884,0.02174146512659334,0.0,0.12858664438923673,0.10021938571998407,16
plate1-B4,1866082,0.019949931671962337,0.0,0.0492738409405076,0.044171877505210844,4
plate1-B5,1751566,0.02207610604242764,0.0,0.062036301982863334,0.04219538296896497,8
plate1-B6,1573714,0.01899496082913492,0.0,0.14265245972146307,0.1428571428571429,9
plate1-B7,0,None,None,nan,nan,0
plate1-B8,1586,0.007884832364314396,0.0,nan,nan,0
plate1-B9,510030,0.013839763974973373,0.0,nan,nan,0
