Plate Name,Well Label,Sample Name,Peak Count,Total Conc. (ng/ul),Analysis Error,Region[75-1000] Size [BP],Region[75-1000] Conc. (ng/ul),Region[75-1000] Molarity (nmol/l)
HTS_215478_Plate_2_2026-03-03_13-12-33,Ladder01,Ladder1,,,,,,
HTS_215478_Plate_2_2026-03-03_13-12-33,Ladder02,Ladder2,,,,,,
HTS_215478_Plate_2_2026-03-03_13-12-33,Ladder03,Ladder3,,,,,,
HTS_215478_Plate_2_2026-03-03_13-12-33,A01,A1,0,0,,407.326311466901,0,0
HTS_215478_Plate_2_2026-03-03_13-12-33,A02,A2,0,0,,433.502056621644,0,0
HTS_215478_Plate_2_2026-03-03_13-12-33,A03,A3,11,3.64655265866174,,454.621315040371,5.30028957691642,12.6579681302684
HTS_215478_Plate_2_2026-03-03_13-12-33,A04,A4,0,0,,577.319765759426,1.31123222211972,4.05619556402057
HTS_215478_Plate_2_2026-03-03_13-12-33,B01,B1,0,0,,314.570407956846,0.0346714274224639,0.368664249147056
HTS_215478_Plate_2_2026-03-03_13-12-33,B02,B2,0,0,,462.577395344738,0,0
HTS_215478_Plate_2_2026-03-03_13-12-33,B03,B3,11,5.61496546937638,,513.970124688742,12.8925056172882,49.0772554027598
HTS_215478_Plate_2_2026-03-03_13-12-33,B04,B4,0,0,,351.820730866664,0.0441652837896166,0.34656395867101
HTS_215478_Plate_2_2026-03-03_13-12-33,C01,C1,0,0,,590.561390096355,0.231690292979143,0.430901704094833
HTS_215478_Plate_2_2026-03-03_13-12-33,C02,C2,0,0,,512.471944107402,0.242327043415758,0.463486149553978
HTS_215478_Plate_2_2026-03-03_13-12-33,C03,C3,0,0,,446.924839092948,2.06097955595867,8.5039676830458
HTS_215478_Plate_2_2026-03-03_13-12-33,D01,D1,0,0,,315.08840424373,0.0249782960406096,0.421668029775235
HTS_215478_Plate_2_2026-03-03_13-12-33,D02,D2,0,0,,294.203055104492,0,0
HTS_215478_Plate_2_2026-03-03_13-12-33,D03,D3,18,8.18694057976118,,526.544838785722,14.4315540765097,44.6004668625536
HTS_215478_Plate_2_2026-03-03_13-12-33,E01,E1,0,0,,393.296815155578,0.0514173011761656,0.357936093252022
HTS_215478_Plate_2_2026-03-03_13-12-33,E02,E2,0,0,,374.550601201142,0,0.00554501213215723
HTS_215478_Plate_2_2026-03-03_13-12-33,E03,E3,9,1.87910173564907,,549.400206908828,4.70765008869562,16.6327154144594
HTS_215478_Plate_2_2026-03-03_13-12-33,F01,F1,0,0,,412.506621775552,0,0
HTS_215478_Plate_2_2026-03-03_13-12-33,F02,F2,0,0,,370.462014376683,0.0598494336086223,0.530084522906915
HTS_215478_Plate_2_2026-03-03_13-12-33,F03,F3,16,7.38110381281995,,540.139958714684,14.4673856115177,44.7514732813974
HTS_215478_Plate_2_2026-03-03_13-12-33,G01,G1,0,0,,360.670329039572,0.0479038289696144,0.342134733794186
HTS_215478_Plate_2_2026-03-03_13-12-33,G02,G2,0,0,,384.118271512913,0.138332300586611,0.91393461565369
HTS_215478_Plate_2_2026-03-03_13-12-33,G03,G3,11,5.19725604256211,,540.594186854588,12.5232593131462,38.0233482908056
HTS_215478_Plate_2_2026-03-03_13-12-33,H01,H1,0,0,,356.449259665354,0.0881918484349681,0.636134305100739
HTS_215478_Plate_2_2026-03-03_13-12-33,H02,H2,0,0,,324.062280510594,0.0725510331962192,0.63334011265323
HTS_215478_Plate_2_2026-03-03_13-12-33,H03,H3,13,6.68360473066801,,488.024853601456,12.5404951520001,41.6527102080979
